name,subtitle,address,work_time,count_reviews,avg_review_score
Oliviero Lombardi,,"Britzer Damm 13, 12347 Berlin","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '18:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '16:00', 'to': '18:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",10,5
Jens Cramer,Tierarztpraxis Cramer,"Osterfeuerberg 1, 27777 Ganderkesee","[{'day': 'Mon', 'from': '09:00', 'to': '10:00'}, {'day': 'Mon', 'from': '15:00', 'to': '18:30'}, {'day': 'Tue', 'from': '09:00', 'to': '10:00'}, {'day': 'Wed', 'from': '09:00', 'to': '10:00'}, {'day': 'Wed', 'from': '15:00', 'to': '18:30'}, {'day': 'Thu', 'from': '09:00', 'to': '10:00'}, {'day': 'Thu', 'from': '15:00', 'to': '18:30'}]",10,5
Dr. Frank Düsterhöft und Dr. Tanja Gerlach,,"Kurt-Schumacher Allee 46, 30851 Langenhagen","[{'day': 'Mon', 'from': '09:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '09:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '19:00'}, {'day': 'Wed', 'from': '09:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '19:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}, {'day': 'Fri', 'from': '09:00', 'to': '12:00'}]",10,5
Max-Ulrich Röcker,TierGesundheitsZentrum Jena-West,"Erfurter Str. 50, 07743 Jena","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '18:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '18:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '18:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '18:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '16:00', 'to': '18:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",9,5
Dr. Thomas Göbel,,"Mecklenburgische Str. 27, 14197 Berlin","[{'day': 'Mon', 'from': '09:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '09:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '19:00'}, {'day': 'Wed', 'from': '09:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '19:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}, {'day': 'Fri', 'from': '09:00', 'to': '12:00'}, {'day': 'Fri', 'from': '16:00', 'to': '19:00'}, {'day': 'Sat', 'from': '10:00', 'to': '13:00'}, {'day': 'Sun', 'from': '11:00', 'to': '12:00'}]",9,5
Dr. Utz Willich,,"Gewerbestr. 24, 58285 Gevelsberg","[{'day': 'Mon', 'from': '08:00', 'to': '18:00'}, {'day': 'Tue', 'from': '08:00', 'to': '18:00'}, {'day': 'Wed', 'from': '08:00', 'to': '18:00'}, {'day': 'Thu', 'from': '08:00', 'to': '18:00'}, {'day': 'Fri', 'from': '08:00', 'to': '13:00'}, {'day': 'Sat', 'from': '11:00', 'to': '13:00'}]",9,5
Dr. Julian Schlömer,,"Südstraße 85 (Ecke Wattenscheider Hellweg) , 44867 Bochum","[{'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '16:00', 'to': '19:00'}, {'day': 'Wed', 'from': '16:00', 'to': '19:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}]",9,5
Uwe Lenk,Tierarztpraxis,"Schönfließer Straße 1, 10439 Berlin","[{'day': 'Mon', 'from': '08:00', 'to': '20:00'}, {'day': 'Tue', 'from': '08:00', 'to': '20:00'}, {'day': 'Wed', 'from': '08:00', 'to': '20:00'}, {'day': 'Thu', 'from': '08:00', 'to': '20:00'}, {'day': 'Fri', 'from': '08:00', 'to': '20:00'}, {'day': 'Sat', 'from': '09:00', 'to': '18:00'}, {'day': 'Sun', 'from': '10:00', 'to': '18:00'}]",9,5
Dr. Claudia Watzel,,"Mont-Cenis-Str. 43, 44623 Herne","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '15:00', 'to': '19:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '15:00', 'to': '18:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '15:00', 'to': '19:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '15:00', 'to': '18:00'}, {'day': 'Sat', 'from': '09:00', 'to': '11:00'}]",9,5
Cornelia Seithe,,"Uckermarkstr. 14, 12621 Berlin","[{'day': 'Mon', 'from': '09:00', 'to': '11:00'}, {'day': 'Mon', 'from': '12:00', 'to': '15:00'}, {'day': 'Tue', 'from': '09:00', 'to': '11:00'}, {'day': 'Tue', 'from': '15:00', 'to': '18:30'}, {'day': 'Wed', 'from': '08:00', 'to': '14:00'}, {'day': 'Wed', 'from': '16:00', 'to': '18:30'}, {'day': 'Thu', 'from': '09:00', 'to': '11:00'}, {'day': 'Thu', 'from': '15:00', 'to': '19:00'}, {'day': 'Fri', 'from': '14:30', 'to': '18:00'}]",9,5
Daniel Brandau und Britta Brandau,,"Sterkelshäuser Str. 3 , 36211 Alheim","[{'day': 'Mon', 'from': '09:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '18:00'}, {'day': 'Tue', 'from': '09:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '18:00'}, {'day': 'Wed', 'from': '09:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '18:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '18:00'}, {'day': 'Fri', 'from': '09:30', 'to': '10:30'}]",9,5
Stefanie Behrens,,"Bahnhofstraße 27/28, 39179 Barleben","[{'day': 'Mon', 'from': '15:00', 'to': '18:00'}, {'day': 'Wed', 'from': '15:00', 'to': '18:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}]",9,5
Britta Häsel,,"Kreuzweg 45, 35423 Lich","[{'day': 'Mon', 'from': '08:00', 'to': '11:30'}, {'day': 'Mon', 'from': '16:00', 'to': '18:30'}, {'day': 'Tue', 'from': '08:00', 'to': '11:30'}, {'day': 'Tue', 'from': '16:00', 'to': '18:30'}, {'day': 'Wed', 'from': '08:00', 'to': '11:30'}, {'day': 'Wed', 'from': '16:00', 'to': '18:30'}, {'day': 'Thu', 'from': '08:00', 'to': '11:30'}, {'day': 'Thu', 'from': '16:00', 'to': '18:30'}, {'day': 'Fri', 'from': '08:00', 'to': '11:30'}, {'day': 'Fri', 'from': '16:00', 'to': '18:30'}, {'day': 'Sat', 'from': '09:00', 'to': '11:30'}]",9,5
Dr. Martin Sager und Sandra Wingerning,Tierambulatorium in Düsseldorf,"Harffstr. 25, 40591 Düsseldorf","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '15:00', 'to': '17:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '15:00', 'to': '17:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '15:00', 'to': '17:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '15:00', 'to': '17:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",8,5
Dres. Demmler und Wehming,,"Wiener Str. 25, 10999 Berlin","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '19:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '19:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '16:00', 'to': '19:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}, {'day': 'Sun', 'from': '10:00', 'to': '11:00'}]",8,5
Joachim Grusdt,,"Kieler Str. 85, 24119 Kronshagen","[{'day': 'Mon', 'from': '08:00', 'to': '12:00'}, {'day': 'Mon', 'from': '17:00', 'to': '18:30'}, {'day': 'Tue', 'from': '11:00', 'to': '12:00'}, {'day': 'Tue', 'from': '17:00', 'to': '18:30'}, {'day': 'Wed', 'from': '11:00', 'to': '12:00'}, {'day': 'Wed', 'from': '18:00', 'to': '19:00'}, {'day': 'Thu', 'from': '11:00', 'to': '12:00'}, {'day': 'Thu', 'from': '17:00', 'to': '18:30'}, {'day': 'Fri', 'from': '11:00', 'to': '12:00'}, {'day': 'Fri', 'from': '17:00', 'to': '18:30'}, {'day': 'Sat', 'from': '10:30', 'to': '12:00'}]",8,5
Dr. Nadine Schröder,,"Hellhörn 18, 25479 Ellerau","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '18:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '18:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '18:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '16:00', 'to': '18:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",8,5
Dr. Katja Wiencierz,Tierarztpraxis Vier Seen,"Schweriner Straße 84b, 23909 Ratzeburg","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '15:00', 'to': '17:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '15:00', 'to': '17:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '15:00', 'to': '17:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '15:00', 'to': '17:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",8,5
Dr. Corinna Cornand,,"Heidberg 45, 22301 Hamburg","[{'day': 'Mon', 'from': '10:00', 'to': '18:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Wed', 'from': '10:00', 'to': '18:00'}, {'day': 'Thu', 'from': '08:00', 'to': '16:00'}]",8,5
Dr. Ulrich Bemm,,"Krummenseer Straße 10, 12685 Berlin","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '19:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '19:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}]",8,5
Daniel Brandau und Britta Brandau,,"Sterkelshäuser Str. 3 , 36211 Alheim","[{'day': 'Mon', 'from': '09:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '18:00'}, {'day': 'Tue', 'from': '09:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '18:00'}, {'day': 'Wed', 'from': '09:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '18:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '18:00'}, {'day': 'Fri', 'from': '09:30', 'to': '10:30'}]",9,5
Stefanie Behrens,,"Bahnhofstraße 27/28, 39179 Barleben","[{'day': 'Mon', 'from': '15:00', 'to': '18:00'}, {'day': 'Wed', 'from': '15:00', 'to': '18:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}]",9,5
Britta Häsel,,"Kreuzweg 45, 35423 Lich","[{'day': 'Mon', 'from': '08:00', 'to': '11:30'}, {'day': 'Mon', 'from': '16:00', 'to': '18:30'}, {'day': 'Tue', 'from': '08:00', 'to': '11:30'}, {'day': 'Tue', 'from': '16:00', 'to': '18:30'}, {'day': 'Wed', 'from': '08:00', 'to': '11:30'}, {'day': 'Wed', 'from': '16:00', 'to': '18:30'}, {'day': 'Thu', 'from': '08:00', 'to': '11:30'}, {'day': 'Thu', 'from': '16:00', 'to': '18:30'}, {'day': 'Fri', 'from': '08:00', 'to': '11:30'}, {'day': 'Fri', 'from': '16:00', 'to': '18:30'}, {'day': 'Sat', 'from': '09:00', 'to': '11:30'}]",9,5
Dr. Martin Sager und Sandra Wingerning,Tierambulatorium in Düsseldorf,"Harffstr. 25, 40591 Düsseldorf","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '15:00', 'to': '17:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '15:00', 'to': '17:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '15:00', 'to': '17:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '15:00', 'to': '17:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",8,5
